Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Rows_equality	Columns_equality	Datasets_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-06-29 19:12:21	1	DeepSeek-V3-0324	8.1	2.2	4	4	1.0	1.0	1.0	1838	1714	124	0.002519	0.001954	0.000565
2025-06-29 19:12:25	2	DeepSeek-V3-0324	3.4	1.1	5	4	1.0	1.0	1.0	1741	1623	118	0.002388	0.00185	0.000538
2025-06-29 19:12:35	3	DeepSeek-V3-0324	1.6	8.0	5	3	1.0	1.0	1.0	1993	1920	73	0.002522	0.002189	0.000333
2025-06-29 19:12:44	4	DeepSeek-V3-0324	4.9	4.7	5	4	0.33	1.0	0.33	2460	2256	204	0.003502	0.002572	0.00093
2025-06-29 19:12:52	5	DeepSeek-V3-0324	4.0	3.2	123	4	1.0	0.75	0.0	2510	2279	231	0.003651	0.002598	0.001053
2025-06-29 19:12:56	6	DeepSeek-V3-0324	2.7	1.6	10	3	1.0	1.0	1.0	1960	1799	161	0.002785	0.002051	0.000734
2025-06-29 19:13:08	7	DeepSeek-V3-0324	10.1	2.1	7	3	1.0	1.0	1.0	1727	1649	78	0.002236	0.00188	0.000356
2025-06-29 19:13:12	8	DeepSeek-V3-0324	2.6	1.7	3	4	1.0	1.0	1.0	1895	1773	122	0.002578	0.002021	0.000556
2025-06-29 19:13:17	9	DeepSeek-V3-0324	2.9	1.9	4	3	1.0	1.0	1.0	1957	1818	139	0.002706	0.002073	0.000634
2025-06-29 19:13:22	10	DeepSeek-V3-0324	2.3	2.3	19	4	1.0	1.0	1.0	1845	1732	113	0.00249	0.001974	0.000515
2025-06-29 19:13:31	11	DeepSeek-V3-0324	2.6	6.7	15	2	1.0	1.0	1.0	2001	1938	63	0.002497	0.002209	0.000287
2025-06-29 19:13:35	12	DeepSeek-V3-0324	2.2	1.5	3	2	1.0	1.0	1.0	1687	1622	65	0.002145	0.001849	0.000296
2025-06-29 19:13:41	13	DeepSeek-V3-0324	4.3	2.1	6	4	1.0	1.0	1.0	1934	1736	198	0.002882	0.001979	0.000903
2025-06-29 19:13:45	14	DeepSeek-V3-0324	2.2	1.6	3	3	1.0	1.0	1.0	1953	1805	148	0.002733	0.002058	0.000675
2025-06-29 19:13:56	15	DeepSeek-V3-0324	6.9	3.6	4	13	1.0	1.0	1.0	1981	1626	355	0.003472	0.001854	0.001619
2025-06-29 19:14:07	16	DeepSeek-V3-0324	9.7	0.0	0	0	0.0	0.0	0.0	2212	1816	396	0.003876	0.00207	0.001806
2025-06-29 19:14:13	17	DeepSeek-V3-0324	4.0	2.2	16	6	1.0	0.83	0.0	2120	1862	258	0.003299	0.002123	0.001176
2025-06-29 19:14:21	18	DeepSeek-V3-0324	5.1	2.6	122	6	1.0	1.0	1.0	2019	1828	191	0.002955	0.002084	0.000871
2025-06-29 19:14:26	19	DeepSeek-V3-0324	4.4	0.0	0	0	0.0	0.0	0.0	2518	2297	221	0.003626	0.002619	0.001008
2025-06-29 19:14:34	20	DeepSeek-V3-0324	3.5	4.6	1501	5	1.0	1.0	1.0	2475	2286	189	0.003468	0.002606	0.000862
2025-06-29 19:14:38	1	gpt-4o	1.8	1.5	4	4	1.0	1.0	1.0	1764	1644	120	0.00531	0.00411	0.0012
2025-06-29 19:14:41	2	gpt-4o	2.1	1.1	5	4	1.0	1.0	1.0	1656	1553	103	0.004913	0.003883	0.00103
2025-06-29 19:14:51	3	gpt-4o	1.7	7.8	5	3	1.0	1.0	1.0	1906	1837	69	0.005283	0.004593	0.00069
2025-06-29 19:15:00	4	gpt-4o	2.8	6.2	15	4	1.0	1.0	1.0	2412	2165	247	0.007883	0.005413	0.00247
2025-06-29 19:15:07	5	gpt-4o	3.2	3.6	123	4	1.0	0.75	0.0	2390	2185	205	0.007513	0.005463	0.00205
2025-06-29 19:15:10	6	gpt-4o	2.1	1.6	10	3	1.0	1.0	1.0	1869	1724	145	0.00576	0.00431	0.00145
2025-06-29 19:15:14	7	gpt-4o	1.9	2.1	7	3	1.0	1.0	1.0	1661	1582	79	0.004745	0.003955	0.00079
2025-06-29 19:15:20	8	gpt-4o	3.2	1.7	3	4	1.0	1.0	1.0	1825	1702	123	0.005485	0.004255	0.00123
2025-06-29 19:15:24	9	gpt-4o	2.8	2.1	4	3	1.0	1.0	1.0	1874	1743	131	0.005668	0.004358	0.00131
2025-06-29 19:15:29	10	gpt-4o	2.2	2.4	19	4	1.0	1.0	1.0	1763	1663	100	0.005158	0.004158	0.001
2025-06-29 19:15:36	11	gpt-4o	1.3	5.9	15	2	1.0	1.0	1.0	1914	1855	59	0.005228	0.004638	0.00059
2025-06-29 19:15:40	12	gpt-4o	1.6	1.6	3	2	1.0	1.0	1.0	1619	1555	64	0.004528	0.003888	0.00064
2025-06-29 19:15:44	13	gpt-4o	2.2	2.1	6	4	1.0	1.0	1.0	1859	1667	192	0.006088	0.004168	0.00192
2025-06-29 19:15:49	14	gpt-4o	2.5	2.8	3	3	1.0	1.0	1.0	1858	1730	128	0.005605	0.004325	0.00128
2025-06-29 19:15:59	15	gpt-4o	6.1	3.3	4	13	1.0	1.0	1.0	1914	1559	355	0.007448	0.003898	0.00355
2025-06-29 19:16:05	16	gpt-4o	4.1	1.9	20	6	1.0	1.0	1.0	2178	1744	434	0.0087	0.00436	0.00434
2025-06-29 19:16:10	17	gpt-4o	2.9	2.1	16	6	1.0	0.83	0.0	2089	1787	302	0.007488	0.004468	0.00302
2025-06-29 19:16:15	18	gpt-4o	2.3	2.8	122	6	1.0	1.0	1.0	1932	1754	178	0.006165	0.004385	0.00178
2025-06-29 19:16:23	19	gpt-4o	2.8	5.4	105	7	1.0	1.0	1.0	2471	2204	267	0.00818	0.00551	0.00267
2025-06-29 19:16:30	20	gpt-4o	2.9	4.2	1501	5	1.0	1.0	1.0	2383	2193	190	0.007383	0.005483	0.0019
2025-06-29 19:16:34	1	gpt-4o-mini	1.7	1.6	4	4	1.0	1.0	1.0	1766	1644	122	0.00032	0.000247	7.3e-05
2025-06-29 19:16:36	2	gpt-4o-mini	1.6	1.1	5	4	1.0	1.0	1.0	1654	1553	101	0.000294	0.000233	6.1e-05
2025-06-29 19:16:52	3	gpt-4o-mini	1.4	14.6	5	3	1.0	1.0	1.0	1917	1837	80	0.000324	0.000276	4.8e-05
2025-06-29 19:16:56	4	gpt-4o-mini	2.3	1.1	0	4	0.0	1.0	0.0	2343	2165	178	0.000432	0.000325	0.000107
2025-06-29 19:17:01	5	gpt-4o-mini	2.3	3.1	424	4	0.0	0.75	0.0	2384	2185	199	0.000447	0.000328	0.000119
2025-06-29 19:17:05	6	gpt-4o-mini	2.5	1.5	10	3	1.0	1.0	1.0	1869	1724	145	0.000346	0.000259	8.7e-05
2025-06-29 19:17:09	7	gpt-4o-mini	1.3	2.1	7	3	1.0	1.0	1.0	1661	1582	79	0.000285	0.000237	4.7e-05
2025-06-29 19:17:13	8	gpt-4o-mini	2.4	1.7	3	4	1.0	1.0	1.0	1835	1702	133	0.000335	0.000255	8e-05
2025-06-29 19:17:18	9	gpt-4o-mini	2.3	2.0	4	3	1.0	1.0	1.0	1874	1743	131	0.00034	0.000261	7.9e-05
2025-06-29 19:17:21	10	gpt-4o-mini	1.4	2.2	19	4	1.0	1.0	1.0	1763	1663	100	0.000309	0.000249	6e-05
2025-06-29 19:17:28	11	gpt-4o-mini	1.3	5.8	15	2	1.0	1.0	1.0	1924	1855	69	0.00032	0.000278	4.1e-05
2025-06-29 19:17:31	12	gpt-4o-mini	1.2	1.5	3	2	1.0	1.0	1.0	1619	1555	64	0.000272	0.000233	3.8e-05
2025-06-29 19:17:35	13	gpt-4o-mini	2.3	1.4	6	4	1.0	1.0	1.0	1890	1667	223	0.000384	0.00025	0.000134
2025-06-29 19:17:38	14	gpt-4o-mini	1.8	1.1	0	3	0.0	1.0	0.0	1855	1730	125	0.000334	0.000259	7.5e-05
2025-06-29 19:17:42	15	gpt-4o-mini	3.0	1.7	4	13	1.0	1.0	1.0	1915	1559	356	0.000447	0.000234	0.000214
2025-06-29 19:17:47	16	gpt-4o-mini	3.3	0.0	0	0	0.0	0.0	0.0	2062	1744	318	0.000452	0.000262	0.000191
2025-06-29 19:17:53	17	gpt-4o-mini	4.0	2.4	6	9	0.38	0.83	0.0	2181	1787	394	0.000504	0.000268	0.000236
2025-06-29 19:17:57	18	gpt-4o-mini	2.5	0.0	0	0	0.0	0.0	0.0	2015	1754	261	0.00042	0.000263	0.000157
2025-06-29 19:18:01	19	gpt-4o-mini	2.6	0.0	0	0	0.0	0.0	0.0	2453	2204	249	0.00048	0.000331	0.000149
2025-06-29 19:18:08	20	gpt-4o-mini	2.1	4.7	1501	5	1.0	0.8	0.0	2378	2193	185	0.00044	0.000329	0.000111
2025-06-29 19:18:11	1	grok-3	2.0	1.5	4	4	1.0	1.0	1.0	1741	1621	120	0.006663	0.004863	0.0018
2025-06-29 19:18:16	2	grok-3	3.0	1.2	5	4	1.0	1.0	1.0	1634	1531	103	0.006138	0.004593	0.001545
2025-06-29 19:18:26	3	grok-3	1.8	8.1	5	3	1.0	1.0	1.0	1879	1809	70	0.006477	0.005427	0.00105
2025-06-29 19:18:35	4	grok-3	4.2	5.4	15	4	1.0	1.0	1.0	2397	2136	261	0.010323	0.006408	0.003915
2025-06-29 19:18:39	5	grok-3	3.1	0.0	0	0	0.0	0.0	0.0	2357	2154	203	0.009507	0.006462	0.003045
