customer_id	customer_name	num_orders	account_balance
31837	Customer#000031837	13769	9983.82
43748	Customer#000043748	23405	7976.28
68816	Customer#000068816	19963	8338.72
128684	Customer#000128684	66776	8174.04
207744	Customer#000207744	17210	8946.67
237919	Customer#000237919	49567	7110.68
444487	Customer#000444487	1382	8676.13
474074	Customer#000474074	67464	6199.07
513854	Customer#000513854	43369	8270.35
832634	Customer#000832634	14457	8941.83
843152	Customer#000843152	46127	7715.42
895465	Customer#000895465	18592	8318.84
966747	Customer#000966747	15833	8990.86
1054453	Customer#001054453	58516	7530.49
1059180	Customer#001059180	11014	9775.78
1113212	Customer#001113212	17210	8583.59
1206120	Customer#001206120	68152	6570.02
1245798	Customer#001245798	22717	9083.35
1413787	Customer#001413787	57138	9823.58
