Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Rows_equality	Columns_equality	Datasets_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-07-05 14:14:11	1	DeepSeek-V3-0324	3.0	0.4	24	4	1.0	1.0	1.0	2020	1893	127	0.002737	0.002158	0.000579
2025-07-05 14:14:14	2	DeepSeek-V3-0324	2.8	0.0	5	4	1.0	1.0	1.0	1922	1802	120	0.002601	0.002054	0.000547
2025-07-05 14:14:37	3	DeepSeek-V3-0324	1.9	20.9	5	3	1.0	1.0	1.0	2175	2099	76	0.002739	0.002393	0.000347
2025-07-05 14:14:45	4	DeepSeek-V3-0324	5.1	3.4	15	4	1.0	1.0	1.0	2660	2435	225	0.003802	0.002776	0.001026
2025-07-05 14:14:50	5	DeepSeek-V3-0324	4.0	0.7	648	4	1.0	0.75	0.0	2686	2458	228	0.003842	0.002802	0.00104
2025-07-05 14:14:53	6	DeepSeek-V3-0324	3.1	0.1	10	3	1.0	1.0	1.0	2144	1978	166	0.003012	0.002255	0.000757
2025-07-05 14:14:55	7	DeepSeek-V3-0324	1.9	0.1	7	3	1.0	0.67	0.0	1914	1828	86	0.002476	0.002084	0.000392
2025-07-05 14:14:58	8	DeepSeek-V3-0324	2.6	0.1	3	4	1.0	1.0	1.0	2080	1952	128	0.002809	0.002225	0.000584
2025-07-05 14:15:04	9	DeepSeek-V3-0324	6.2	0.1	6	3	1.0	1.0	1.0	2142	1997	145	0.002938	0.002277	0.000661
2025-07-05 14:15:09	10	DeepSeek-V3-0324	2.2	0.8	255868	4	1.0	1.0	1.0	2024	1911	113	0.002694	0.002179	0.000515
2025-07-05 14:15:54	11	DeepSeek-V3-0324	1.8	43.1	15	4	1.0	0.0	0.0	2205	2117	88	0.002815	0.002413	0.000401
2025-07-05 14:15:59	12	DeepSeek-V3-0324	4.5	0.3	3	2	1.0	1.0	1.0	1867	1801	66	0.002354	0.002053	0.000301
2025-07-05 14:16:11	13	DeepSeek-V3-0324	4.6	1.3	758246	4	1.0	1.0	1.0	2129	1915	214	0.003159	0.002183	0.000976
2025-07-05 14:16:14	14	DeepSeek-V3-0324	2.8	0.1	12	3	1.0	1.0	1.0	2123	1984	139	0.002896	0.002262	0.000634
2025-07-05 14:16:59	15	DeepSeek-V3-0324	45.2	0.1	4	13	1.0	1.0	1.0	2211	1805	406	0.003909	0.002058	0.001851
2025-07-05 14:17:05	16	DeepSeek-V3-0324	5.8	0.0	0	0	0.0	0.0	0.0	2329	1995	334	0.003797	0.002274	0.001523
2025-07-05 14:17:09	17	DeepSeek-V3-0324	4.1	0.2	24	6	1.0	0.83	0.0	2298	2041	257	0.003499	0.002327	0.001172
2025-07-05 14:17:13	18	DeepSeek-V3-0324	3.1	0.5	175	6	1.0	1.0	1.0	2200	2007	193	0.003168	0.002288	0.00088
2025-07-05 14:17:20	19	DeepSeek-V3-0324	3.6	3.1	107	5	0.99	0.71	0.0	2677	2476	201	0.003739	0.002823	0.000917
2025-07-05 14:17:26	20	DeepSeek-V3-0324	4.8	0.9	4050	5	1.0	1.0	1.0	2638	2465	173	0.003599	0.00281	0.000789
2025-07-05 14:17:28	1	gpt-4o	2.3	0.2	24	4	1.0	1.0	1.0	1948	1823	125	0.005808	0.004558	0.00125
2025-07-05 14:17:30	2	gpt-4o	2.1	0.0	5	4	1.0	1.0	1.0	1837	1732	105	0.00538	0.00433	0.00105
2025-07-05 14:17:53	3	gpt-4o	1.3	21.8	5	3	1.0	1.0	1.0	2087	2016	71	0.00575	0.00504	0.00071
2025-07-05 14:17:59	4	gpt-4o	2.3	3.8	15	4	1.0	1.0	1.0	2551	2344	207	0.00793	0.00586	0.00207
2025-07-05 14:18:03	5	gpt-4o	3.0	0.5	942	4	0.0	0.25	0.0	2562	2364	198	0.00789	0.00591	0.00198
2025-07-05 14:18:06	6	gpt-4o	2.5	0.1	10	3	1.0	1.0	1.0	2052	1903	149	0.006248	0.004758	0.00149
2025-07-05 14:18:07	7	gpt-4o	1.5	0.1	7	3	1.0	0.67	0.0	1842	1761	81	0.005213	0.004403	0.00081
2025-07-05 14:18:09	8	gpt-4o	2.2	0.2	3	4	1.0	1.0	1.0	1999	1881	118	0.005883	0.004703	0.00118
2025-07-05 14:18:12	9	gpt-4o	2.1	0.1	6	3	1.0	1.0	1.0	2059	1922	137	0.006175	0.004805	0.00137
2025-07-05 14:18:16	10	gpt-4o	2.1	0.9	255868	4	1.0	1.0	1.0	1951	1842	109	0.005695	0.004605	0.00109
2025-07-05 14:18:21	11	gpt-4o	1.2	2.9	15	2	1.0	1.0	1.0	2095	2034	61	0.005695	0.005085	0.00061
2025-07-05 14:18:22	12	gpt-4o	1.3	0.1	3	2	1.0	1.0	1.0	1805	1734	71	0.005045	0.004335	0.00071
2025-07-05 14:18:33	13	gpt-4o	3.1	1.4	758246	4	1.0	1.0	1.0	2054	1846	208	0.006695	0.004615	0.00208
2025-07-05 14:18:35	14	gpt-4o	1.6	0.1	12	3	1.0	1.0	1.0	2043	1909	134	0.006113	0.004773	0.00134
2025-07-05 14:18:39	15	gpt-4o	4.1	0.1	4	13	1.0	1.0	1.0	2120	1738	382	0.008165	0.004345	0.00382
2025-07-05 14:18:44	16	gpt-4o	5.2	0.0	0	0	0.0	0.0	0.0	2329	1923	406	0.008868	0.004808	0.00406
2025-07-05 14:18:48	17	gpt-4o	3.9	0.2	24	6	1.0	0.83	0.0	2245	1966	279	0.007705	0.004915	0.00279
2025-07-05 14:18:52	18	gpt-4o	3.1	0.5	175	6	1.0	1.0	1.0	2120	1933	187	0.006703	0.004832	0.00187
2025-07-05 14:19:00	19	gpt-4o	3.0	5.0	109	7	0.0	0.57	0.0	2670	2383	287	0.008828	0.005958	0.00287
2025-07-05 14:19:02	20	gpt-4o	2.5	0.0	0	0	0.0	0.0	0.0	2548	2372	176	0.00769	0.00593	0.00176
2025-07-05 14:19:04	1	gpt-4o-mini	1.8	0.2	24	4	1.0	1.0	1.0	1948	1823	125	0.000348	0.000273	7.5e-05
2025-07-05 14:19:06	2	gpt-4o-mini	1.9	0.0	5	4	1.0	1.0	1.0	1835	1732	103	0.000322	0.00026	6.2e-05
2025-07-05 14:19:31	3	gpt-4o-mini	1.4	23.4	5	3	1.0	1.0	1.0	2087	2016	71	0.000345	0.000302	4.3e-05
2025-07-05 14:19:33	4	gpt-4o-mini	2.0	0.1	0	4	0.0	1.0	0.0	2519	2344	175	0.000457	0.000352	0.000105
2025-07-05 14:19:36	5	gpt-4o-mini	2.5	0.5	942	4	0.0	0.25	0.0	2566	2364	202	0.000476	0.000355	0.000121
2025-07-05 14:19:39	6	gpt-4o-mini	2.0	0.1	10	3	1.0	1.0	1.0	2053	1903	150	0.000375	0.000285	9e-05
2025-07-05 14:19:40	7	gpt-4o-mini	1.4	0.1	7	3	1.0	0.67	0.0	1842	1761	81	0.000313	0.000264	4.9e-05
2025-07-05 14:19:42	8	gpt-4o-mini	1.4	0.2	3	4	1.0	1.0	1.0	1999	1881	118	0.000353	0.000282	7.1e-05
2025-07-05 14:19:44	9	gpt-4o-mini	2.0	0.1	1	3	0.17	0.0	0.0	2086	1922	164	0.000387	0.000288	9.8e-05
2025-07-05 14:19:48	10	gpt-4o-mini	1.4	0.9	255868	4	1.0	1.0	1.0	1943	1842	101	0.000337	0.000276	6.1e-05
