customer_id	customer_name	num_orders	total_amount
83635	Customer#000083635	13	2484518.99
1354951	Customer#001354951	12	2237716.98
1499083	Customer#001499083	11	2148197.45
952525	Customer#000952525	12	2143599.75
541183	Customer#000541183	12	2131833.47
150451	Customer#000150451	12	2084436.93
686410	Customer#000686410	11	2079399.39
508219	Customer#000508219	12	2061592.53
380014	Customer#000380014	11	2017444.36
1437082	Customer#001437082	11	1997533.52
1223200	Customer#001223200	13	1992732.8
357781	Customer#000357781	14	1969558.54
1118188	Customer#001118188	14	1967317.89
1238437	Customer#001238437	11	1940966.6
88123	Customer#000088123	12	1828156.98
225829	Customer#000225829	11	1714603.95
1467517	Customer#001467517	12	1644781.79
1456537	Customer#001456537	11	1633938.5
423232	Customer#000423232	11	1557119.75
27463	Customer#000027463	11	1537190.0
753688	Customer#000753688	11	1438952.35
609511	Customer#000609511	11	1298051.06
113236	Customer#000113236	11	1235268.83
1172032	Customer#001172032	11	1190543.37
